totim,time_step,stress_period,name,ZONE_1
547.0,0,18,FROM_CONSTANT_HEAD,30495.115
547.0,0,18,FROM_DRAINS,0.0
547.0,0,18,FROM_RECHARGE,300949.5
547.0,0,18,FROM_ZONE_0,0.0
547.0,0,18,FROM_ZONE_1,0.0
547.0,0,18,TOTAL_IN,483847.75
547.0,0,18,TO_STORAGE,0.7303187
547.0,0,18,TO_CONSTANT_HEAD,0.0
547.0,0,18,TO_DRAINS,135586.06
547.0,0,18,TO_RECHARGE,0.0
547.0,0,18,TO_ZONE_0,0.0
547.0,0,18,TO_ZONE_1,0.0
547.0,0,18,TOTAL_OUT,135586.8
547.0,0,18,IN-OUT,348260.94
547.0,0,18,PERCENT_DISCREPANCY,112.44478
578.0,0,19,FROM_STORAGE,147554.56
578.0,0,19,FROM_CONSTANT_HEAD,30513.25
578.0,0,19,FROM_DRAINS,0.0
578.0,0,19,FROM_RECHARGE,300949.5
578.0,0,19,FROM_ZONE_0,0.0
578.0,0,19,FROM_ZONE_1,0.0
578.0,0,19,TOTAL_IN,479017.3
578.0,0,19,TO_STORAGE,0.66627514
578.0,0,19,TO_CONSTANT_HEAD,0.0
578.0,0,19,TO_DRAINS,130771.65
578.0,0,19,TO_RECHARGE,0.0
578.0,0,19,TO_ZONE_0,0.0
578.0,0,19,TO_ZONE_1,0.0
578.0,0,19,TOTAL_OUT,130772.31
578.0,0,19,IN-OUT,348245.0
578.0,0,19,PERCENT_DISCREPANCY,114.21808
609.0,0,20,FROM_STORAGE,143615.69
609.0,0,20,FROM_CONSTANT_HEAD,30527.324
609.0,0,20,FROM_DRAINS,0.0
609.0,0,20,FROM_RECHARGE,300949.5
609.0,0,20,FROM_ZONE_0,0.0
609.0,0,20,FROM_ZONE_1,0.0
609.0,0,20,TOTAL_IN,475092.5
609.0,0,20,TO_STORAGE,0.60740584
609.0,0,20,TO_CONSTANT_HEAD,0.0
609.0,0,20,TO_DRAINS,126857.85
609.0,0,20,TO_RECHARGE,0.0
609.0,0,20,TO_ZONE_0,0.0
609.0,0,20,TO_ZONE_1,0.0
